ticker,name,sector,price_12,price_11,price_10,price_9,price_8,price_7,price_6,price_5,price_4,price_3,price_2,price_1,current_price
MS,Morgan Stanley,Finance,137.16,129.13,115.74,116.76,128.4,141.07,139.09,148.85,156.89,163.65,168.47,181.9,181.9
MSCI,MSCI,Other,582.43,588.76,567.3,546.07,564.2,581.34,557.4,553.91,552.59,581.1,559.66,565.25,565.25
MSFT,Microsoft Corp,Technology,410.92,388.49,382.19,425.4,461.97,492.05,524.11,505.12,519.71,517.03,486.74,472.94,472.94
MSI,MSI,Other,473.37,427.35,435.99,439.16,419.17,425.65,436.71,479.0,456.93,391.5,373.35,381.02,381.02
MTB,MTB,Other,195.87,188.81,176.37,170.86,180.04,197.5,184.99,198.98,195.29,182.73,190.22,204.04,204.04
MTCH,MTCH,Other,35.4,30.19,31.41,30.41,30.32,32.51,33.6,36.98,34.63,32.5,33.75,31.74,31.74
MTD,MTD,Other,1342.43,1268.64,1156.38,1056.58,1141.13,1205.29,1197.23,1276.0,1289.82,1406.88,1468.09,1411.39,1411.39
MU,MU,Other,89.92,90.54,88.71,77.77,98.18,120.89,104.88,118.48,182.15,234.7,240.46,315.42,315.42
NCLH,NCLH,Other,27.66,21.95,19.06,16.26,17.67,20.98,24.5,24.72,24.19,22.18,18.57,22.78,22.78
NDAQ,NDAQ,Other,81.92,81.97,76.04,76.14,84.0,88.94,95.17,93.59,86.91,86.39,89.36,96.66,96.66
NDSN,NDSN,Other,216.64,207.1,200.95,190.36,212.18,220.48,209.25,222.7,228.55,229.66,235.03,241.03,241.03
NEE,NextEra Energy,Utilities,71.05,71.62,70.92,66.05,70.15,73.06,70.4,72.65,78.67,81.78,84.65,80.93,80.93
NEM,NEM,Other,43.12,42.36,48.29,51.49,55.58,58.83,62.59,75.86,85.95,81.62,91.83,101.22,101.22
NFLX,Netflix Inc,Technology,97.89,97.37,92.84,113.35,121.9,129.36,115.86,121.41,117.09,110.01,109.13,90.99,90.99
NI,NI,Other,37.58,41.23,40.4,38.96,39.59,40.06,42.59,42.11,43.07,42.58,43.0,42.16,42.16
NKE,Nike Inc,Consumer,76.59,78.41,64.76,56.76,61.57,73.41,74.62,74.29,74.2,62.65,65.39,63.28,63.28
NOC,NOC,Other,487.75,473.41,513.1,486.67,483.38,503.53,586.44,589.32,605.42,575.41,545.51,585.66,585.66
NOW,ServiceNow Inc,Technology,204.19,182.06,162.31,191.59,202.42,202.38,182.87,182.28,182.49,182.77,164.41,147.45,147.45
NRG,NRG,Other,102.68,100.25,98.53,114.14,158.49,155.96,167.63,145.11,161.91,174.48,165.66,166.16,166.16
NSC,NSC,Other,250.32,245.14,236.61,221.77,245.26,262.38,274.85,278.25,298.68,282.17,289.83,287.82,287.82
NTAP,NTAP,Other,119.72,95.73,89.49,89.73,98.77,106.69,101.1,115.37,118.5,116.94,112.27,106.47,106.47
NTRS,NTRS,Other,110.82,109.4,97.95,94.94,106.31,127.99,127.06,129.77,131.2,127.68,130.98,139.28,139.28
NUE,NUE,Other,131.3,134.07,119.66,119.72,120.4,134.11,138.67,146.4,135.39,148.12,160.7,169.4,169.4
NVDA,NVIDIA Corp,Technology,116.66,114.06,110.15,111.61,137.38,153.3,173.72,170.78,187.24,206.88,179.92,188.85,188.85
NVR,NVR,Other,7737.5,7200.29,7213.62,7034.89,7043.41,7667.85,7760.68,8169.85,8036.48,7072.32,7517.09,7278.87,7278.87
NWS,NWS,Other,31.95,32.04,30.28,31.27,32.48,34.41,33.25,33.21,32.46,30.06,28.98,29.77,29.77
